Key	Type	Desc	Chinese (Simplified)	English	French	German	Spanish	Portuguese (Brazil)	Russian	Italian	Japanese	Korean	Chinese (Traditional)	Indonesian											
Obj/Chain/NewbieGuideDescribe5	base	0	装在纸箱里的物品都处于锁定状态！合并之后就可以打开纸箱了哦！	"Everything in the carton is locked! After merging, you can open the carton!"	"Les articles dans le carton sont tous verrouillés ! Après la fusion, vous pouvez ouvrir le carton !"	Die Artikel im Karton sind alle verschlossen! Nach dem Zusammenführen können Sie den Karton öffnen!	"¡Todos los artículos de la caja están bloqueados! ¡Después de fusionar, puede abrir la caja!"	"Os itens da caixa estão todos bloqueados! Após a fusão, você pode abrir a caixa!"	Все предметы в коробке заблокированы! После слияния вы можете открыть коробку!	"Gli articoli nel cartone sono tutti bloccati! Dopo la fusione, puoi aprire il cartone!"	ダンボールに入っているものはすべてロック状態!合体したらダンボールを開けることができますよ!	종이 상자에 담긴 물품은 모두 잠금 상태입니다!합친후 종이박스를 열수 있다!	裝在紙箱裏的物品都處於鎖定狀態！合並之後就可以打開紙箱了哦！	"Barang-barang yang dikemas dalam karton terkunci! Setelah bergabung, Anda dapat membuka kartonnya!"											
Obj/Chain/NewbieGuideDescribe6	base	0	我们做出了一件容器，真是太棒了！快去轻点一下，把里面的物品拿出来吧。	We made a container. It's great! Now go and light it up and take out the contents.	"Nous avons fait un conteneur, ce qui est génial! Allez appuyer dessus rapidement et sortez le contenu."	"Wir haben einen Container gemacht, was großartig ist! Tippen Sie schnell darauf und nehmen Sie den Inhalt heraus."	"Hicimos un recipiente, ¡que es genial! Ve a tocarlo rápidamente y saca el contenido."	"Fizemos um container, o que é ótimo! Toque rapidamente e retire o conteúdo."	"Мы сделали контейнер, и это здорово! Быстро коснитесь его и достаньте содержимое."	"Abbiamo realizzato un contenitore, il che è fantastico! Vai a toccarlo velocemente ed estrarre il contenuto."	容器が出来上がりました素晴らしいですね早く軽くして、中の物を出しなさい。	우리는 용기를 만들었습니다. 정말 멋졌습니다.빨리 살살 가서 안에 있는 물건을 꺼내라.	我們做出了一件容器，真是太棒了！快去輕點一下，把裏面的物品拿出來吧。	Kami membuat wadah dan itu luar biasa! Pergi dan ketuk untuk mengeluarkan item di dalamnya.											
Obj/Chain/NewbieGuideDescribe7	base	0	烹饪空间不够用啦！快去合并之前装在纸箱里的物品，腾出一些空间来吧。	I'm running out of working space! Make some space by consolidating the items you've already packed in boxes.	Il n'y a pas assez d'espace de cuisson ! Allez-y et fusionnez les articles emballés dans le carton avant de faire de l'espace.	"Es ist nicht genügend Garraum vorhanden! Fahren Sie fort und fügen Sie die im Karton verpackten Artikel zusammen, um Platz zu schaffen."	¡No hay suficiente espacio para cocinar! Continúe y combine los artículos empaquetados en la caja antes para hacer algo de espacio.	Não há espaço para cozinhar suficiente! Vá em frente e mescle os itens embalados na caixa antes de abrir espaço.	"Недостаточно места для приготовления пищи! Идите вперед и объедините предметы, упакованные в картонную коробку, прежде чем освободить место."	Non c'è abbastanza spazio per cucinare! Vai avanti e unisci gli articoli imballati nel cartone prima di fare un po' di spazio.	調理スペースが足りない!今まで段ボールに入っていたものをまとめて、スペースを作りましょう。	조리 공간이 부족하다!먼저 종이박스에 담아둔 물건들을 합쳐서 공간을 만들어 주세요.	烹飪空間不夠用啦！快去合並之前裝在紙箱裏的物品，騰出一些空間來吧。	Ruang memasak tidak cukup! Lanjutkan dan gabungkan barang-barang yang sebelumnya dikemas dalam karton untuk membuat ruang.											
Obj/Chain/NewbieGuideDescribe8	base	0	运气真不错啊！这样就可以完成我们的第一个订单了！轻点一下，看看订单列表吧。	Now we can finish our first order! Let's take a look at the order List.	Bonne chance! Nous pouvons ainsi finaliser notre première commande ! Appuyez dessus pour voir la liste des commandes.	"Viel Glück! So können wir unseren ersten Auftrag abschließen! Tippen Sie darauf, um die Liste der Bestellungen anzuzeigen."	¡Buena suerte! ¡Para que podamos completar nuestro primer pedido! Tócalo para ver la lista de pedidos.	Boa sorte! Para que possamos concluir nosso primeiro pedido! Toque nele para ver a lista de pedidos.	"Удачи! Итак, мы можем выполнить наш первый заказ! Коснитесь его, чтобы увидеть список заказов."	Buona fortuna! Quindi possiamo completare il nostro primo ordine! Toccalo per vedere l'elenco degli ordini.	運がいいですね。これで私たちの最初の注文を完了することができます!ちょっと、注文リストを見てみよう。	운이 정말 좋네요!이렇게 하면 우리의 첫 번째 주문을 완성할 수 있을 것이다!클릭 한 번 해서 주문서 목록을 봐라.	運氣真不錯啊！這樣就可以完成我們的第一個訂單了！輕點一下，看看訂單列表吧。	Semoga beruntung! Ini melengkapi pesanan pertama kami! Ketuk untuk melihat daftar pesanan.											
Obj/Chain/NewbieGuideDescribe9	base	0	现在可以把订单中的菜品端给客人了哦！只要轻点一下“完成”按钮就可以上菜啦。	More customers arrive at the hotel! Let's see what they all need.	Vous pouvez maintenant servir les plats dans l'ordre aux convives ! Appuyez simplement sur le bouton « Terminer » pour le servir.	"Jetzt können Sie die Gerichte in der Reihenfolge an die Gäste servieren! Tippen Sie einfach auf die Schaltfläche ""Fertig stellen"", um es zu servieren."	"¡Ahora puedes servir los platos en orden a los invitados! Simplemente toque el botón ""Finalizar"" para servirlo."	"Agora você pode servir os pratos na ordem para os convidados! Basta tocar no botão ""Concluir"" para servir."	"Теперь вы можете подавать блюда по порядку к гостям! Просто нажмите кнопку «Готово», чтобы подать его."	"Ora puoi servire i piatti nell'ordine agli ospiti! Basta toccare il pulsante ""Fine"" per servirlo."	注文したメニューをお客様にお出しできますよ!「完成」ボタンを押すだけで料理が出てきます。	지금 손님에게 주문서에 있는 요리를 날라드릴 수 있어요!완성 버튼을 누르기만 하면 음식이 나온다.	現在可以把訂單中的菜品端給客人了哦！只要輕點一下「完成」按鈕就可以上菜啦。	"Sekarang Anda bisa menyajikan hidangan sesuai pesanan untuk para tamu! Cukup ketuk tombol ""Selesai"" dan Anda siap melayani."											
Obj/Chain/NewbieGuideDescribe10	base	0	又有一位顾客心满意足的走啦！不过我们的任务还没有结束，继续烹饪吧！	"Another customer's request has been fulfilled! Our mission is not over, let's keep working!"	"Un autre client repart satisfait ! Mais notre tâche n'est pas encore terminée, continuez à cuisiner !"	"Ein weiterer Kunde geht zufrieden! Aber unsere Aufgabe ist noch nicht beendet, kocht weiter!"	"¡Otro cliente se va satisfecho! Pero nuestra tarea aún no ha terminado, ¡sigue cocinando!"	"Outro cliente está saindo satisfeito! Mas nossa tarefa ainda não acabou, continue cozinhando!"	"Еще один клиент уходит довольный! Но наша задача еще не закончена, продолжаем готовить!"	"Un altro cliente parte soddisfatto! Ma il nostro compito non è ancora finito, continua a cucinare!"	もう一人のお客さんが満足げに帰っていった。でも、俺たちの役目はまだ終わっていない、料理を続けてくれ!	"또 한 명의 고객이 만족해하며 갔다!하지만 우리의 임무는 아직 끝나지 않았으니, 계속 요리를 하세요!"	又有一位顧客心滿意足的走啦！不過我們的任務還沒有結束，繼續烹飪把！	"Pelanggan lain yang puas pergi! Tapi tugas kita belum selesai, ayo lanjutkan memasak!"											
Obj/Chain/NewbieGuideDescribe11	base	0	面板上好乱啊！你可以把暂时用不到的物品收到仓库里。	The panel is a mess! You can send items that you don't need temporarily to the warehouse.	Quel bordel sur le panneau ! Vous pouvez apporter les articles temporairement inutilisés dans l'entrepôt.	Was für ein Chaos auf dem Panel! Sie können die vorübergehend nicht verwendeten Artikel ins Lager nehmen.	¡Qué lío en el panel! Puede llevar los artículos temporalmente no utilizados al almacén.	Que bagunça no painel! Você pode levar os itens temporariamente não usados ​​para o depósito.	Какой беспорядок на панели! Вы можете забрать временно неиспользованные предметы на склад.	Che casino sul pannello! Puoi portare gli articoli temporaneamente non utilizzati nel magazzino.	パネルが散らかっている。一時的に使えなくなった品物を倉庫に送ることができます。	판넬이 엉망이야!너는 잠시 사용할 수 없는 물품을 창고 안에 받을 수 있다.	面板上好亂啊！你可以把暫時用不到的物品收到倉庫裏。	Benar-benar berantakan di panel! Anda dapat menerima item yang sementara tidak terpakai ke dalam gudang.											
Obj/Chain/NewbieGuideDescribe12	base	0	非常好！继续把物品从容器里拿出来合并，努力完成订单，给这一关的工作画上句号吧！	"Very good! Continue to merge items out of containers, try to fulfill orders, and wrap up this level!"	"très bien! Continuez à sortir les articles du conteneur et à les fusionner, travaillez dur pour terminer la commande et mettez fin à ce niveau de travail !"	"sehr gut! Nehmen Sie weiterhin die Artikel aus dem Container und führen Sie sie zusammen, arbeiten Sie hart daran, die Bestellung abzuschließen, und beenden Sie diese Arbeit!"	"¡muy bien! ¡Continúe sacando los artículos del contenedor y fusionándolos, trabaje duro para completar el pedido y ponga fin a este nivel de trabajo!"	"muito bom! Continue a tirar os itens do contêiner e mesclá-los, trabalhe duro para concluir o pedido e acabe com esse nível de trabalho!"	"очень хороший! Продолжайте вынимать предметы из контейнера и объединять их, усердно работать, чтобы выполнить заказ, и положить конец этому уровню работы!"	"molto bene! Continua a estrarre gli articoli dal contenitore e unirli, lavora sodo per completare l'ordine e metti fine a questo livello di lavoro!"	とてもいいです!容器からモノを出してまとめて、頑張って受注して、この関門の仕事に終止符を打ちましょう。	"아주 좋아요!계속해서 용기에서 물건을 꺼내 합치고, 주문을 완성하도록 노력하며, 닫힌 작업을 마무리하라!"	非常好！繼續把物品從容器裏拿出來合並，努力完成訂單，給這一關的工作畫上句號吧！	"sangat bagus! Lanjutkan mengeluarkan item dari wadah dan menggabungkannya, coba selesaikan pesanan, dan akhiri pekerjaan level ini!"											
Obj/Chain/NewbieGuideDescribe13	base	0	真棒！所有顾客点的东西都上完啦！现在只要轻点一下“结束关卡”按钮，就可以继续冒险了哦！	"Awesome! All customer requirements have been completed! Now just tap the ""End Level"" button and you can continue your adventure!"	"Impressionnant! Tous les articles commandés par les clients sont finis ! Maintenant, appuyez simplement sur le bouton « Fin du niveau » pour continuer l'aventure !"	"Fantastisch! Alle vom Kunden bestellten Artikel sind fertig! Tippen Sie jetzt einfach auf die Schaltfläche ""Level beenden"", um das Abenteuer fortzusetzen!"	"¡Impresionante! ¡Todos los artículos pedidos por los clientes están terminados! ¡Ahora solo toca el botón ""Finalizar nivel"" para continuar la aventura!"	"Incrível! Todos os itens encomendados pelos clientes estão prontos! Agora, basta tocar no botão ""Nível final"" para continuar a aventura!"	"Потрясающие! Все товары, заказанные покупателями, готовы! Теперь просто нажмите кнопку «Завершить уровень», чтобы продолжить приключение!"	"Stupendo! Tutti gli articoli ordinati dai clienti sono finiti! Ora tocca il pulsante ""Fine livello"" per continuare l'avventura!"	すごい!お客さんの注文が全部届きました!今は「ステージ終了」ボタンを押すだけで、冒険を続けることができますよ!	정말 훌륭해!모든 손님이 주문한 물건이다 완성되었다!이제'레벨 종료'버튼을 클릭하기만 하면 모험을 계속할 수 있습니다!	真棒！所有顧客點的東西都上完啦！現在只要輕點一下「結束關卡」按鈕，就可以繼續冒險了哦！	"luar biasa! Semua barang yang dipesan oleh pelanggan telah dikirimkan! Sekarang cukup ketuk tombol ""End Level"" untuk melanjutkan petualangan!"											
Obj/Chain/NewbieGuideDescribe14	base	0	只要完成任务就可以获得星星了哦！	Just complete the mission and you can earn stars!	"Tant que vous terminez la mission, vous pouvez obtenir des étoiles !"	"Solange du die Mission abschließt, kannst du Sterne bekommen!"	"¡Mientras completes la misión, puedes conseguir estrellas!"	"Contanto que você complete a missão, você pode obter estrelas!"	"Пока вы выполняете миссию, вы можете получать звезды!"	"Finché completi la missione, puoi ottenere stelle!"	ミッションをクリアすると星がもらえるんだよ!	미션만 완료하면 별을 획득할 수 있어요!	只要完成任務就可以獲得星星了哦！	"Selama Anda menyelesaikan tugas, Anda bisa mendapatkan bintang!"											
Obj/Chain/NewbieGuideDescribe15	base	0	有一个容器已经空了！默特可以帮你给它补货哦！	One of the containers is empty! Mert can restock it for you!	Un des conteneurs est vide ! Mert peut vous aider à le reconstituer !	Einer der Behälter ist leer! Mert kann Ihnen beim Auffüllen helfen!	¡Uno de los contenedores está vacío! ¡Mert puede ayudarte a reponerlo!	Um dos recipientes está vazio! Mert pode ajudá-lo a reabastecê-lo!	Один из контейнеров пуст! Мерт поможет вам его пополнить!	Uno dei contenitori è vuoto! Mert può aiutarti a ricostituirlo!	空になった容器が一つ!ムートが補充してくれるよ!	용기 하나가 이미 비어 있다!모트가 당신을 도와 그것을 보충할 수 있습니다.	有一個容器已經空了！默特可以幫你給它補貨哦！	Satu wadah sudah kosong! Mert dapat membantu Anda mengisinya kembali!											
Obj/Chain/NewbieGuideDescribe16	base	0	等级礼包已经准备就绪！	Level Chest is Ready!	Le Coffre de niveau est prêt !	Level-Truhe ist bereit!	¡El cofre de nivel está listo!	O baú de nível está pronto!	Сундук уровня готов!	Il Forziere livello è pronto!	レベルチェストの準備ができました！	레벨 상자가 준비되었습니다!	等級寶箱已準備就緒！	Paket level sudah siap!											
Obj/Chain/NewbieGuideDescribe17	base	0	点击这里领取等级礼包！	Claim Rewards in this Chest!	Réclamez des récompenses dans ce coffre !	Fordern Sie Belohnungen in dieser Truhe an!	¡Reclama recompensas en este cofre!	Reivindique recompensas neste baú!	Получите награды в этом сундуке!	Richiedi le ricompense in questo forziere!	この宝箱から報酬を受け取ろう！	이 상자에서 보상을 받으세요!	在此寶箱中領取獎勵！	Klik di sini untuk mengklaim Paket Tier Anda!											
Obj/Chain/NewbieGuideDescribe18	base	0	星星礼包已经准备就绪！	Star Chest is Ready!	Le Coffre d'étoiles est prêt	Sternentruhe ist fertig!	¡El cofre estelar está listo!	O Baú de Estrelas Está Pronto!	Звездный сундук готов!	Il forziere stellare è pronto!	スターチェストの準備ができました！	스타 상자가 준비되었습니다!	星辰寶箱已準備就緒！	Paket bintang sudah siap!											
Obj/Chain/NewbieGuideDescribe19	base	0	点击这里领取星星礼包！	Claim Rewards in this Chest!	Réclamez des récompenses dans ce coffre !	Fordern Sie Belohnungen in dieser Truhe an!	¡Reclama recompensas en este cofre!	Reivindique recompensas neste baú!	Получите награды в этом сундуке!	Richiedi le ricompense in questo forziere!	この宝箱から報酬を受け取ろう！	이 상자에서 보상을 받으세요!	在此寶箱中領取獎勵！	Klik di sini untuk mengklaim paket bintang!											
Obj/Chain/NewbieGuideDescribe20	base	0	经验条已经满了！	Exp Bar is full!	La barre d'expérience est pleine !	Erfahrungspunkte Bar ist voll!	¡La barra de experiencia está llena!	Exp Bar está cheio!	Полоса опыта заполнена!	L'PE Bar è pieno!	経験値バーがいっぱい！	경험치 바가 가득 찼습니다!	經驗欄已滿！	Bilah pengalaman penuh!											
Obj/Chain/NewbieGuideDescribe21	base	0	点击这里领取等级奖励！	Click to collect rewards!	Cliquez et collectez des récompenses !	Klicken und Prämien sammeln!	¡Haz clic para recoger recompensas!	Clique para coletar recompensas!	"Нажмите, чтобы получить награды!"	Clicca per raccogliere i premi!	クリックして報酬を集めましょう！	보상을 수집하려면 클릭하세요!	點擊領取獎勵！	Klik di sini untuk mengklaim hadiah level Anda!											
Obj/Chain/NewbieGuideDescribe22	base	0	体力用完了?来这里可以领取体力	Running out of stamina? Come here to get your stamina	Vous êtes à court d'endurance ? Venez ici pour récupérer votre endurance	"Du hast keine Ausdauer mehr? Komm her, um deine Ausdauer zu erhalten"	¿Te estás quedando sin energía? Ven aquí para obtenerla	Você está ficando sem energia? venha aqui para obtê-la	"Заканчивается выносливостью? Приходите сюда, чтобы получить выносливость"	Stai esaurendo la tua resistenza? Vieni qui a raccoglierne altra!	エネルギーがない？ここでエネルギーを受領できます	체력을 다했습니까? 여기에 와서 체력을 얻을 수 있습니다.	體力用完了?來這裡可以領取體力	Kehabisan stamina? Datang ke sini untuk mendapatkan stamina											
Obj/Chain/SetButton1	base	0	用Facebook账号登录	Sign In with Facebook	Connexion avec Facebook	Mit Facebook anmelden	Iniciar sesión con Facebook	Iniciar Sessão com Facebook	Войти с Facebook	Accedi con Facebook	Facebookでサインイン	Facebook으로 로그인	以 Facebook 登入	Masuk dengan akun Facebook											
Obj/Chain/SetButton2	base	0	用Apple账号登录	Sign In with Apple	Connexion avec Apple	Mit Apple anmelden	Iniciar sesión con Apple	Iniciar Sessão com Apple	Войти с Apple	Accedi con Apple	Appleでサインイン	Apple로 로그인	以 Apple 登入	Masuk dengan akun Apple											
Obj/Chain/SetButton3	base	0	用Google账号登录	Sign In with Google	Connexion avec Google	Mit Google anmelden	Iniciar sesión con Google	Iniciar Sessão com Google	Войти с Google	Accedi con Google	Googleでサインイン	Google로 로그인	以 Google 登入	Masuk dengan akun Google											
Obj/Chain/SetTextButton1	base	0	服务条款	Terms of Service	Conditions d'utilisation	Nutzungsbedingungen	Condiciones de uso	Termos de Serviço	Пользовательское соглашение	Termini di servizio	利用規約	서비스 약관	使用條款	Ketentuan Layanan											
Obj/Chain/SetTextButton2	base	0	隐私政策	Privacy Policy	Politique de confidentialité	Datenschutzbestimmungen	Política de privacidad	Política de Privacidade	Политика конфиденциальности	Informativa sulla privacy	プライバシーポリシー	개인정보 보호정책	隱私權政策	Kebijakan pribadi											
Obj/Chain/SetDescribe1	base	0	登陆后即可在线保存进度	Sign in to save your progress online.	Connecte-toi pour sauvegarder ta progression en ligne.	"Melde dich an, um deinen Fortschritt online zu speichern."	Inicia sesión para guardar tu progreso en línea.	Inicia sessão para guardares o teu progresso online.	"Войдите, чтобы сохранить свой прогресс онлайн."	Accedi per salvare i tuoi progressi online.	サインインしてオンラインでゲームをセーブしましょう。	온라인으로 진행 상황을 저장하려면 로그인하세요.	登入以在雲端儲存進度。	Masuk untuk menyimpan progres secara online											
Obj/Chain/SetLoinFailure1	base	0	信号接收中。。	Signal receiving...	Réception du signal...	Signalempfang...	Recepción de señal...	Recebendo sinal...	Прием сигнала...	Ricezione segnale...	信号受信...	신호수신...	信號接收中。。	Penerima sinyal..											
Obj/Chain/SetLoinFailure2	base	0	发生了一点故障	Something's Wrong	Quelque chose cloche	Etwas stimmt nicht	Algo ha salido mal	Existe um Problema	Что-то пошло не так	Qualcosa è andato storto	問題が発生しました	오류가 발생했습니다	出現錯誤	Ada yang salah											
Obj/Chain/SetLoinFailure3	base	0	请再试一次	Try Again	Réessaie	Erneut Versuchen	Intentar De Nuevo	Tentar Novamente	Повторить	Riprova	もう一度試す	다시 시도	再試一次	Silakan coba lagi											
Obj/Chain/SetLoinFailure4	base	0	好的	OK	OK	OK	OK	OK	ОК	OK	OK	확인	好的	OKE											
Obj/Chain/Load	base	0	Logo_zh-CN	Logo_en	Logo_fr	Logo_de	Logo_es	Logo_pt-BR	Logo_ru	Logo_it	Logo_ja	Logo_ko	Logo_zh-TW	Logo_ID											
Obj/Chain/CunDangTitle	base	0	发现存档数据	Remote Save Found	Sauvegarde en ligne trouvée	Remote-Speicher gefunden	Guardado remoto encontrado	Jogo Guardado Remoto Encontrado	Найдено сохранение	Salvataggio remoto trovato	オンラインにセーブデータがあります	온라인 저장 게임 발견	找到雲端儲存內容	Temukan data yang diarsipkan											
Obj/Chain/CunDangDescribe	base	0	发现更新的存档数据，是否下载并覆盖本地存档？	We found a saved game online.<br>Which would you like to use?	Nous avons trouvé une sauvegarde en ligne.<br>Quelle sauvegarde souhaites-tu utiliser ?	Wir haben online ein gespeichertes Spiel gefunden.<br>Welches möchtest du verwenden?	Hemos encontrado progreso guardado en línea.<br>¿Con cuál te gustaría jugar?	Encontrámos um jogo guardado online.<br>Qual gostarias de usar?	Мы нашли сохраненную игру.<br>Какое сохранение вы хотите использовать?	È stata trovata una partita salvata online.<br>Quale preferisci usare?	オンラインでセーブデータが見つかりました。<br>どちらのセーブデータを使いますか？	온라인에서 저장된 게임을 찾았어요.<br>무엇을 사용하시겠어요?	我們找到一份儲存在雲端的內容。<br>你想讀取哪一份？	"Data arsip baru ditemukan, unduh, dan timpa arsip lokal?"											
Obj/Chain/CunDangButton	base	0	确定	Confirmation	Confirmation	Bestätigung	Confirmación	Confirmação	Подтверждение	Conferma	確認	확인	確認	Tentu											
Obj/Chain/SignSuccessButton	base	0	已关联	Connected	Connecté(e)	Verbunden	Conectado	Ligado	Подключено	Accesso effettuato	現在接続中	연결됨	已連結	Terkait											
Obj/Chain/SignSuccessDescribe	base	0	进度保存完毕！	Progress saved!	Progression sauvegardée !	Fortschritt gespeichert!	¡Progreso guardado!	Progresso guardado!	Прогресс сохранен!	Progressi salvati!	ゲームをセーブしました！	진행 상황이 저장됐습니다!	進度已儲存！	Kemajuan disimpan!											
Obj/Chain/PersonalInformationDescribe	base	0	已选择头像	Avatar Selected	Avatar Sélectionné	Avatar Ausgewählt	Avatar Seleccionado	Avatar Selecionado	Аватар выбран	Avatar Selezionato	選択したアバター	아바타 선택됨	已選擇頭像	Avatar dipilih											
Obj/Chain/PersonalInformationButton	base	0	应用	Application	application	Anwendung	solicitud	aplicativo	применение	applicazione	応用	애플리케이션	應用	Aplikasi											
Obj/Chain/PersonalInformationDescribe2	base	0	点击输入昵称	Enter a nickname	Entrez un pseudo	Gib einen Spitznamen ein	Ingrese un apodo	Digite um apelido	Inserisci un soprannome	Inserisci un soprannome	ニックネームを入力してください	닉네임 입력	點擊輸入暱稱	Klik untuk memasukkan nama panggilan											
Obj/Chain/LeaderboardTitle	base	0	排行榜	Leaderboard	Classement	Bestenliste	Tabla de clasificación	Entre os melhores	Таблица лидеров	Classifica	リーダーボード	리더보드	排行榜	Papan peringkat											
Obj/Chain/LeaderboardTime	base	0	距离赛季结束还有:	The Season Ends in:{0}	Avant la fin de la saison :	Vor Saisonende:	Antes del final de la temporada:	Antes do final da temporada:	До конца сезона:	Prima della fine della stagione:	シーズン終了前:	시즌 종료 전:	距離賽季結束還有:	Hingga akhir musim:											
Obj/Chain/LeaderboardDescribe1	base	0	距离下阶段奖励还需要{0}积分。	There are {0} points left before the next stage reward.	{0} points sont nécessaires jusqu'à la récompense de l'étape suivante.	{0} Punkte werden bis zur Belohnung der nächsten Stufe benötigt.	Se necesitan {0} puntos hasta la recompensa de la siguiente etapa.	{0} pontos são necessários até a próxima recompensa do estágio.	{0} очков необходимо до награды за следующий этап.	Sono necessari {0} punti fino alla ricompensa della fase successiva.	次のステージの報酬まで{0}ポイントが必要です.	다음 스테이지 보상까지 {0}포인트가 필요합니다.	距離下階段獎勵還需要{0}積分。	{0} poin dibutuhkan sebelum hadiah tahap berikutnya.											
Obj/Chain/LeaderboardDescribe2	base	0	排行榜每3分钟刷新一次排名哦，加油冲榜吧！	The leaderboard refreshes the ranking every 3 minutes. Try to get points!	"Le classement est actualisé toutes les 3 minutes, alors tentez de gagner des points !"	"Die Rangliste wird alle 3 Minuten aktualisiert, also versuchen Sie, Punkte zu sammeln!"	"La clasificación se actualiza cada 3 minutos, ¡así que intenta ganar puntos!"	"O ranking é atualizado a cada 3 minutos, então tente ganhar pontos!"	"Рейтинг обновляется каждые 3 минуты, так что попробуйте заработать очки!"	"La classifica viene aggiornata ogni 3 minuti, quindi cerca di guadagnare punti!"	ランキングは3分ごとに更新されますので、ポイントを稼ごう！	3분마다 순위가 갱신되니 어서오세요!	排行榜每3分鐘刷新一次排名哦，加油衝榜吧！	"Papan peringkat disegarkan setiap 3 menit, ayolah!"											
Obj/Chain/LeaderboardDescribe3	base	0	太棒了，你已经完成了所有奖励。	Amazing! you've got all the rewards.	"Super, vous avez terminé toutes les récompenses."	"Toll, du hast alle Belohnungen abgeschlossen."	"Genial, has completado todas las recompensas."	"Ótimo, você completou todas as recompensas."	"Отлично, вы выполнили все награды."	"Ottimo, hai completato tutte le ricompense."	素晴らしい、あなたはすべての報酬を完了しました.	좋습니다. 모든 보상을 완료했습니다.	太棒了，你已經完成了所有獎勵。	"Bagus, Anda telah menyelesaikan semua hadiah."											
Obj/Chain/LeaderboardTitle2	base	0	排行榜列表	Leaderboard list	Liste des classements	Bestenlistenliste	Lista de clasificación	Lista de classificação	Список лидеров	Lista della classifica	リーダーボードリスト	리더보드 목록	排行榜列表	Daftar papan peringkat											
Obj/Chain/LeaderboardTipsTitle	base	0	排行榜	Leaderboard	Classement	Bestenliste	Tabla de clasificación	Entre os melhores	Таблица лидеров	Classifica	リーダーボード	리더보드	排行榜	Papan peringkat											
Obj/Chain/LeaderboardTipsText1	base	0	1。合成道具，完成订单都可以获得排行榜积分。	1. Synthesize props and complete orders to get leaderboard points.	1. Synthétisez les accessoires et complétez les commandes pour obtenir des points de classement.	"1. Synthetisieren Sie Requisiten und führen Sie Aufträge aus, um Ranglistenpunkte zu erhalten."	1. Sintetice accesorios y complete órdenes para obtener puntos de clasificación.	1. Sintetize adereços e conclua pedidos para obter pontos na tabela de classificação.	"1. Синтезируйте реквизит и выполняйте заказы, чтобы получить очки в таблице лидеров."	1. Sintetizza gli oggetti di scena e completa gli ordini per ottenere punti in classifica.	1.小道具を合成し、注文を完了してリーダーボードポイントを獲得します。	1. 소품을 합성하고 주문을 완료하여 순위표 점수를 얻으세요.	1。合成道具，完成訂單都可以獲得排行榜積分。	1. Sintesis alat peraga dan selesaikan pesanan untuk mendapatkan poin papan peringkat.											
Obj/Chain/LeaderboardTipsText2	base	0	2。登上排行榜，获得更高的排名。	2. Climb the leaderboard and get higher rankings.	2. Montez dans le classement et obtenez des classements plus élevés.	2. Erklimmen Sie die Rangliste und erhalten Sie höhere Platzierungen.	2. Ascienda en la clasificación y obtenga clasificaciones más altas.	2. Suba na tabela de classificação e obtenha classificações mais altas.	2. Поднимитесь в таблице лидеров и получите более высокий рейтинг.	2. Scala la classifica e ottieni classifiche più alte.	2.リーダーボードを登り、より高いランキングを取得します。	2. 순위표에 올라 더 높은 순위를 얻으세요.	2。登上排行榜，獲得更高的排名。	2. Naiki papan peringkat dan dapatkan peringkat yang lebih tinggi.											
Obj/Chain/LeaderboardTipsText7	base	0	3。赛季结束，登陆游戏领取奖励。	"3. At the end of the season, log in to the game to receive rewards."	"3. À la fin de la saison, connectez-vous au jeu pour recevoir des récompenses."	"3. Melden Sie sich am Ende der Saison im Spiel an, um Belohnungen zu erhalten."	"3. Al final de la temporada, inicia sesión en el juego para recibir recompensas."	"3. No final da temporada, faça login no jogo para receber recompensas."	"3. По окончании сезона авторизуйтесь в игре, чтобы получить награды."	"3. Alla fine della stagione, accedi al gioco per ricevere le ricompense."	3.シーズンの終わりに、ゲームにログインして報酬を受け取ります。	3. 시즌 종료 시 게임에 로그인하여 보상을 받으세요.	3。賽季結束，登陸游戲領取獎勵。	"3. Di akhir musim, login ke game untuk mengklaim hadiah."											
Obj/Chain/LeaderboardTipsText3	base	0	合成等级	Synthesis Level	Niveau de synthèse	Synthesestufe	Nivel de síntesis	Nível de síntese	Уровень синтеза	Livello di sintesi	合成レベル	합성 수준	合成等級	Kelas sintetis											
Obj/Chain/LeaderboardTipsText4	base	0	获得积分	Earn Points	Gagnez des points	Verdiene Punkte	Gana puntos	Ganhe pontos	Зарабатывайте баллы	Guadagna punti	ポイントを獲得	포인트 적립	獲得積分	Dapatkan poin											
Obj/Chain/LeaderboardTipsText5	base	0	等级:	level:	niveau:	eben:	nivel:	nível:	уровень:	livello:	レベル:	수준:	等級:	Nilai:											
Obj/Chain/LeaderboardTipsText6	base	0	排行榜积分:	Leaderboard Points:	Score du classement:	Bestenlisten-Score:	Fracción:	Pontuação do placar:	Таблица лидеров:	Punteggio della classifica:	リーダーボードスコア:	리더보드 포인트:	排行榜積分:	Poin Papan Peringkat:											
Obj/Chain/PointsRewardTitle	base	0	积分奖励	Points Reward	Points de récompense	Punkte Belohnung	Recompensa de puntos	Recompensa de pontos	Награда за очки	Premio punti	ポイント報酬	포인트 보상	積分獎勵	Poin bonus											
Obj/Chain/PointsRewardText1	base	0	免费	Free	Gratuit	Gratis	Gratis	Grátis	Бесплатно	Gratis	無料	무료	免費	Bebas											
